"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"VND-005-T1","[DB] Design and Implement VendorProfile Entity","Define and create the TypeORM entity for `VendorProfile`, including fields for store name, address, contact details, and geocoded location (latitude/longitude). This includes setting up relationships and constraints.","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-11-08","4","","backend,database,typeorm","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-005","","TypeORM,PostgreSQL,TypeScript","Low","Low","`VendorProfile` entity is created with all required fields. TypeORM migration is generated and successfully applied.","Code reviewed; Migration script tested; Merged to main.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit testing of entity definition.","Migration must be run before service deployment.","Foundation for all vendor-related data."
"VND-005-T2","[Backend] Implement API for Vendor Profile Management","Create the NestJS controller, service, and DTO for managing the `VendorProfile`. Implement GET and PUT endpoints. The PUT endpoint must handle address updates by calling the geocoding service and validating against operational zones.","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-11-11","10.3","","backend,api,nestjs,integration","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-005","VND-005-T1","NestJS,TypeScript,REST API,Geocoding","Medium","Medium","GET and PUT endpoints for vendor profile are functional and secure. Geocoding and zone validation are implemented.","Code reviewed; Integration tests passing; OpenAPI spec updated.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Coordination on geofencing service API.","Mapbox API","Integration testing with mocked external APIs.","","Enables vendor self-service for profile management."
"VND-005-T3","[QA] Implement Tests for Vendor Profile API","Create a comprehensive test suite for the vendor profile endpoints, including unit tests for service logic and integration tests for the controller.","Task","Sprint Backlog","Critical","qa-engineer-1@company.com","product.owner@company.com","2024-11-13","9.3","","qa,testing,jest,supertest","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-005","VND-005-T2","Jest,Supertest,TypeScript,Mocking","Medium","Low","Unit tests >80% coverage. Integration tests cover happy path, validation errors, and authorization failures.","All tests passing in CI/CD pipeline.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend developer for API details.","","Unit, Integration","","Ensures API quality and reliability."
"VND-006-T1","[DB] Design and Implement VendorBusinessHour Entity","Create the TypeORM entity for `VendorBusinessHour` with a many-to-one relationship to `VendorProfile`. Include fields for day of the week, opening time, and closing time.","Task","Sprint Backlog","Critical","backend-dev-2@company.com","product.owner@company.com","2024-11-08","3.2","","backend,database,typeorm","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-006","VND-005-T1","TypeORM,PostgreSQL","Low","Low","`VendorBusinessHour` entity created with correct fields and relationships. Migration generated and applied.","Code reviewed; Migration script tested; Merged to main.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit testing of entity definition.","Migration must be run before service deployment.","Foundation for store availability logic."
"VND-006-T2","[Backend] Implement Business Hours Validation Logic","In the `VendorService`, extend the profile update logic to validate incoming business hours. Implement checks to ensure time slots do not overlap and that closing times are after opening times.","Task","Sprint Backlog","Critical","backend-dev-2@company.com","product.owner@company.com","2024-11-12","7.2","","backend,api,nestjs,validation","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-006","VND-006-T1,VND-005-T2","NestJS,TypeScript","Medium","Low","Validation logic correctly identifies and rejects overlapping or invalid time slots.","Code reviewed; Unit tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit testing of the validation logic for edge cases.","","Ensures data integrity for business hours."
"VND-006-T3","[QA] Implement Integration Tests for Business Hours API","Create integration tests that send various valid and invalid business hour configurations to the profile update endpoint and assert the correct responses (200 OK vs. 400 Bad Request).","Task","Sprint Backlog","Critical","qa-engineer-1@company.com","product.owner@company.com","2024-11-14","7.2","","qa,testing,jest,supertest","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-006","VND-006-T2","Jest,Supertest","Medium","Low","Test cases for valid single/multiple slots pass. Test cases for invalid/overlapping slots fail with 400.","All tests passing in CI/CD pipeline.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Integration","","Ensures API quality for business hours management."
"VND-007-T1","[Backend] Implement API Endpoint for Availability Toggle","Add an `isOnline` boolean field to the `VendorProfile` entity. Create a dedicated PATCH endpoint `/api/v1/vendor/profile/availability` that accepts a boolean status.","Task","Sprint Backlog","Critical","backend-dev-3@company.com","product.owner@company.com","2024-11-08","4","","backend,api,nestjs","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-007","VND-005-T1","NestJS,TypeORM","Low","Low","PATCH request successfully updates the `isOnline` field. Endpoint is protected by RBAC.","Code reviewed; Integration tests passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Integration","","Enables vendors to control their store's real-time availability."
"VND-007-T2","[Backend] Implement Event Publishing for Status Change","Using the Transactional Outbox pattern, publish a `VendorStatusChanged` event to an SNS topic whenever the `isOnline` status is updated. The event payload must include `vendorId` and the new `status`.","Task","Sprint Backlog","Critical","backend-dev-3@company.com","product.owner@company.com","2024-11-12","8.3","","backend,event-driven,aws-sns","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-007","VND-007-T1","NestJS,AWS SNS,Event-Driven Architecture","High","High","Successful status update atomically publishes a `VendorStatusChanged` event. Event payload is correct.","Code reviewed; Integration tests for Transactional Outbox passing.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Integration testing simulating database failures to verify atomicity.","","Ensures system-wide consistency for store availability."
"VND-007-T3","[QA] Write Integration Tests for Availability Toggle","Create integration tests for the availability toggle endpoint, covering happy path, authorization failure, and verifying the correct event is published upon success.","Task","Sprint Backlog","Critical","qa-engineer-1@company.com","product.owner@company.com","2024-11-14","2.2","","qa,testing,jest,aws-sdk","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Profile & Compliance Management","EPIC-001","Vendor & Catalog Service","VND-007","VND-007-T2","Jest,Supertest,AWS SDK Mocks","Low","Low","Test cases cover toggling both ways, event emission, and authorization failure.","All tests passing in CI/CD pipeline.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Integration","","Guarantees reliability of the availability toggle feature."
"VND-008-T1","[DB] Design and Implement ProductCategory Entity","Create the TypeORM entity for `ProductCategory` with a many-to-one relationship to `VendorProfile`. Include fields for name and ensure a unique constraint on (vendorId, name).","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-11-08","3.2","","backend,database,typeorm","Sprint 1","Establish foundational vendor profile, catalog entities, compliance framework, and CI/CD pipeline.","Vendor Catalog & Inventory Management","EPIC-002","Vendor & Catalog Service","VND-008","VND-005-T1","TypeORM,PostgreSQL","Low","Low","`ProductCategory` entity is created. Migration is generated and applied.","Code reviewed; Migration passed.","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Unit","Migration must be run before service deployment.","Foundation for product catalog organization."
