"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"IA-TSK-001","Initialize NestJS project and core modules","Scaffold a new NestJS application using the CLI. Establish the initial module structure for Auth, Users, and Admin. Configure ESLint and Prettier for code quality.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2024-11-04","2","1","backend,setup,nestjs","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-001","Hyperlocal Delivery Service","US-001","","NestJS,TypeScript","Low","Low","The project can be started locally. Lint and format commands are functional. Core modules are created.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Run npm run start:dev and npm run lint.","Initial commit to Git repository.","Provides the essential technical groundwork for the microservice."
"IA-TSK-002","Configure TypeORM for PostgreSQL Connectivity","Integrate @nestjs/typeorm and pg. Configure the connection to PostgreSQL using environment variables sourced via @nestjs/config.","Task","Sprint Backlog","Critical","backend.lead@company.com","product.owner@company.com","2024-11-05","4.2","2","backend,database,typeorm","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-001","Hyperlocal Delivery Service","US-001","IA-TSK-001","NestJS,TypeORM,PostgreSQL","Low","Low","Application successfully establishes a database connection on startup using .env files.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","DevOps for RDS access","AWS RDS instance","Application startup logs show a successful database connection.","Requires database credentials to be configured in the environment.","Enables database interaction for all subsequent features."
"IA-TSK-003","Define All TypeORM Entities for Identity Service","Create and define all TypeORM entities required by the 'Identity & Access Service ER Diagram': User, CustomerProfile, Address, UserConsent, AuditLog, and SystemConfiguration.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-06","8.3","3","backend,database,typeorm","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-001","Hyperlocal Delivery Service","US-001","IA-TSK-002","TypeScript,TypeORM,PostgreSQL","Medium","Low","All specified entities are created as TypeScript classes with TypeORM decorators. Relationships are correctly defined.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Successful generation of a migration file from these entities.","","Defines the core data structure for the Identity service."
"IA-TSK-004","Implement Database Migration Setup and Initial Migration","Configure TypeORM CLI to manage database migrations. Generate the initial migration file based on the entities created in the previous task.","Task","Sprint Backlog","Critical","backend.dev@company.com","product.owner@company.com","2024-11-07","3.2","2","backend,database,migration","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-001","Hyperlocal Delivery Service","US-001","IA-TSK-003","TypeORM,SQL","Low","Low","`npm run migration:generate` creates a valid migration file. `npm run migration:run` successfully applies the migration.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Running the migration against a test database and inspecting the schema.","Migration will be part of the CD pipeline.","Enables automated and version-controlled schema management."
"IA-TSK-005","Integrate AWS Secrets Manager Client","Implement a service or utility function that uses the AWS SDK to fetch secrets (like database credentials) from AWS Secrets Manager.","Task","Sprint Backlog","High","backend.lead@company.com","product.owner@company.com","2024-11-08","6.3","3","backend,aws,security","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-001","Hyperlocal Delivery Service","US-001","IA-TSK-002","NestJS,AWS SDK,IAM","Medium","Medium","In 'production' mode, the application fetches DB credentials from Secrets Manager. In 'development' mode, it uses .env files.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","DevOps for IAM roles","AWS Secrets Manager","Integration test that mocks the AWS SDK and confirms correct credentials are used.","Requires correct IAM role assignment in the EKS deployment.","Secures database credentials, preventing them from being stored in version control."
"IA-TSK-006","Create Multi-Stage Dockerfile for Production","Develop a multi-stage Dockerfile. The 'builder' stage installs all dependencies and compiles the TypeScript code. The final 'production' stage copies only the compiled output.","Task","Sprint Backlog","Critical","devops.engineer@company.com","product.owner@company.com","2024-11-05","4.2","2","devops,docker,ci-cd","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-002","Hyperlocal Delivery Service","US-002","IA-TSK-001","Docker,Node.js","Low","Low","The `docker build` command successfully creates a container image. Final image size is less than 200MB. Container runs as a non-root user.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Successfully building the image and running it locally.","This Dockerfile will be used in the CD pipeline.","Creates optimized and secure container images for deployment."
"IA-TSK-007","Configure GitHub Actions CI Workflow","Create a `ci.yml` workflow file that triggers on `pull_request` to the main branch. The workflow must run linting, tests, and check code coverage.","Task","Sprint Backlog","Critical","devops.engineer@company.com","product.owner@company.com","2024-11-06","6.3","3","devops,github-actions,ci","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-002","Hyperlocal Delivery Service","US-002","IA-TSK-001","GitHub Actions,YAML","Medium","Low","A pull request with linting errors, failing tests, or code coverage below 80% fails the CI check.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","","Creating test pull requests that are expected to fail and pass the CI checks.","This is a critical gate for code quality.","Automates code quality checks, improving stability and reducing bugs."
"IA-TSK-008","Develop Terraform Configuration for EKS Service","Create Terraform files to define the Kubernetes resources for the service: Deployment, Service, Ingress, and HorizontalPodAutoscaler.","Task","Sprint Backlog","Critical","devops.engineer@company.com","product.owner@company.com","2024-11-08","12","5","devops,terraform,kubernetes,aws-eks","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-002","Hyperlocal Delivery Service","US-002","","Terraform,Kubernetes,AWS EKS","High","Medium","`terraform apply` successfully deploys the resources to the EKS cluster. Configuration defines liveness and readiness probes.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend team for probe endpoints","Provisioned EKS cluster","Successful `terraform apply` and verification of running pods and accessible service endpoint.","Defines the production infrastructure for the service.","Enables infrastructure as code, providing repeatable and version-controlled deployments."
"IA-TSK-009","Configure GitHub Actions CD Workflow for Deployment","Create a `cd.yml` workflow file that triggers on pushes to the `main` branch. This workflow will configure AWS credentials via OIDC, build and push the Docker image to ECR, and then execute `terraform apply`.","Task","Sprint Backlog","Critical","devops.engineer@company.com","product.owner@company.com","2024-11-11","10.3","5","devops,github-actions,cd,terraform","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","Foundational Service Setup & Deployment","EPIC-002","Hyperlocal Delivery Service","US-002","IA-TSK-006,IA-TSK-008","GitHub Actions,YAML,AWS IAM,Terraform","High","High","A merge to the `main` branch successfully builds and pushes a new image to AWS ECR. The `terraform apply` step successfully initiates a rolling deployment in EKS.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","","AWS OIDC provider configured","A successful end-to-end deployment triggered by a merge to the main branch.","This pipeline will be the primary path to production.","Automates the release process, enabling rapid and reliable deployments."
"IA-TSK-019","Configure PostGIS in Terraform and Update Address Entity","Modify the Terraform configuration for the AWS RDS instance to enable the `postgis` extension. Update the `Address` TypeORM entity to use the `geography(Point, 4326)` type and add a spatial index.","Task","Sprint Backlog","Critical","devops.engineer@company.com","product.owner@company.com","2024-11-12","10","5","database,postgis,terraform,aws-rds","Sprint 1","Establish the service foundation, database schema with PostGIS, and a fully automated CI/CD pipeline.","User Profile & Data Management","EPIC-003","Hyperlocal Delivery Service","US-007","IA-TSK-003,IA-TSK-008","Terraform,AWS RDS,PostgreSQL,PostGIS","High","Medium","`terraform apply` successfully enables the PostGIS extension on RDS. A new migration is generated and runs successfully.","Code reviewed; Unit tests passing; Integration tests passing; Documentation updated","2024-10-28T09:00:00Z","2024-10-28T09:00:00Z","2024-11-04","2024-11-15","100%","Backend team for entity update","","Successful Terraform apply and database schema inspection.","This is a critical infrastructure change and prerequisite for address management.","Enables efficient geospatial queries required for core platform logistics."
