"task_id","title","description","type","status","priority","assignee","reporter","due_date","estimated_hours","story_points","labels","sprint","sprint_goal","epic","epic_id","project","parent_id","dependencies","skills_required","complexity","risk_level","acceptance_criteria","definition_of_done","created_at","updated_at","sprint_start_date","sprint_end_date","capacity_allocation","collaboration_required","external_dependencies","testing_requirements","deployment_notes","business_value"
"VND-005-T1","Schema: Define VendorProfile Entity","Define and create the TypeORM entity for `VendorProfile`. Include fields for storeName, averageRating, isOnline, address components, and geospatial columns (latitude, longitude). Establish the one-to-one relationship with the external User entity (via userId).","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-08-01","4.2","","database,schema,typeorm,backend","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Vendor Profile & Store Management","EPIC-001","Vendor & Catalog Service","VND-005","","TypeORM,PostgreSQL,PostGIS","Low","Low","`VendorProfile` entity is created with all required fields. A TypeORM migration file is generated and successfully applies the schema. Geospatial column type is correctly defined for PostGIS.","Code reviewed; Migration file generated; Migration successfully runs in CI.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","None","PostGIS extension enabled on RDS instance.","Migration script validation.","Database migration must be applied before application deployment.","Foundation for all vendor-related data."
"VND-008-T1","Schema: Define ProductCategory Entity","Define and create the TypeORM entity for `ProductCategory`. It will have a many-to-one relationship with `VendorProfile` and a one-to-many relationship with `Product`. Include a `name` column with a unique constraint scoped to the vendor.","Task","Sprint Backlog","Critical","backend-dev-2@company.com","product.owner@company.com","2024-08-01","4.2","","database,schema,typeorm,backend","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-008","VND-005-T1","TypeORM,PostgreSQL","Low","Low","`ProductCategory` entity is created with correct relationships. A TypeORM migration is generated and runs successfully.","Code reviewed; Migration file generated; Migration successfully runs in CI.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","None","","Migration script validation.","Database migration must be applied before application deployment.","Enables product organization for vendors."
"VND-005-T2","Backend: Implement Profile GET and PATCH Endpoints","Create a NestJS Vendor module, controller, and service. Implement `GET /vendors/me` and `PATCH /vendors/me`. Secure endpoints with a JWT guard to ensure a vendor can only access their own profile. Use DTOs with class-validator for input validation.","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-08-02","8.3","","backend,api,nestjs","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Vendor Profile & Store Management","EPIC-001","Vendor & Catalog Service","VND-005","VND-005-T1","NestJS,TypeScript,REST API","Medium","Low","`GET /vendors/me` returns the authenticated vendor's profile. `PATCH /vendors/me` updates the profile with valid data. Requests for other vendors' profiles are rejected with 403 Forbidden. Invalid data in PATCH request is rejected with 400 Bad Request.","Code reviewed; Unit & Integration tests passing; OpenAPI spec generated.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","QA Engineer for testing.","A standard JWT authentication guard is available.","Unit and Integration tests required.","Endpoint to be documented in OpenAPI spec.","Allows vendors to manage their core business information."
"VND-008-T2","Backend: Implement Category CRUD Endpoints","Create a `CategoryController` with `POST`, `GET`, `PATCH`, and `DELETE` endpoints. All operations must be authorized to ensure a vendor can only manage their own categories.","Task","Sprint Backlog","Critical","backend-dev-2@company.com","product.owner@company.com","2024-08-05","8.3","","backend,api,nestjs,crud","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-008","VND-008-T1","NestJS,TypeScript","Medium","Low","Vendor can perform all CRUD operations on their own categories. API calls are rejected if the vendor does not own the category.","Code reviewed; Unit & Integration tests passing; OpenAPI spec generated.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","QA Engineer for testing.","","Unit and Integration tests required.","Endpoints to be documented in OpenAPI spec.","Core functionality for vendors to organize their products."
"VND-009-T1","Schema: Define Product Entity","Define and create the TypeORM entity for `Product`. Include columns for name, description, price, stock quantity, image URL, and relationships to `VendorProfile` and `ProductCategory`. Implement soft-delete via `@DeleteDateColumn`.","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-08-02","5.2","","database,schema,typeorm,backend","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-009","VND-005-T1,VND-008-T1","TypeORM,PostgreSQL","Medium","Low","`Product` entity is created with correct relationships and columns. Soft-delete is enabled on the entity. A TypeORM migration is generated and runs successfully.","Code reviewed; Migration file generated; Migration successfully runs in CI.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","None","","Migration script validation.","Database migration must be applied before application deployment.","Foundation for the core marketplace offering: products."
"VND-005-T3","Integration: Implement Mapbox Geocoding on Address Change","Integrate the Mapbox Geocoding API. When a vendor updates their address via `PATCH /vendors/me`, call the Mapbox API to convert the address string to latitude/longitude coordinates. Store these coordinates in the database.","Task","Sprint Backlog","High","backend-dev-1@company.com","product.owner@company.com","2024-08-05","6.3","","backend,api,integration,mapbox","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Vendor Profile & Store Management","EPIC-001","Vendor & Catalog Service","VND-005","VND-005-T2","NestJS,API Integration,Error Handling","Medium","Medium","Successfully updating an address also updates the `latitude` and `longitude` fields. If the Mapbox API call fails, the entire profile update is rolled back. API key for Mapbox is securely retrieved from AWS Secrets Manager.","Code reviewed; Integration tests passing; Circuit breaker implemented.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","DevOps for secrets manager access.","Mapbox API key and service availability.","Integration tests mocking Mapbox API.","Requires Mapbox API key in production environment secrets.","Ensures accurate location data for logistics and customer-facing maps."
"VND-009-T2","Backend: Implement Product Creation Endpoint","Create the `POST /products` endpoint. It should accept product metadata. It will NOT handle the file upload directly. Instead, it will generate a pre-signed S3 URL for the client to upload the image.","Task","Sprint Backlog","Critical","backend-dev-2@company.com","product.owner@company.com","2024-08-06","8.3","","backend,api,nestjs,s3","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-009","VND-009-T1","NestJS,TypeScript,AWS S3","Medium","Medium","The endpoint returns a pre-signed URL and a `productId` for the new product record. Input data (price, stock) is validated. The product is initially saved with a temporary image URL.","Code reviewed; Unit & Integration tests passing; OpenAPI spec generated.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","DevOps for S3 bucket setup.","AWS S3 service.","Integration tests for pre-signed URL generation.","Requires S3 bucket and IAM permissions.","Core functionality for vendors to add products to their catalog."
"VND-010-T1","Backend: Implement Product Update Endpoint","Create a `PATCH /products/{id}` endpoint. This endpoint will accept a DTO with optional fields for all editable product properties. It must enforce ownership.","Task","Sprint Backlog","Critical","backend-dev-1@company.com","product.owner@company.com","2024-08-07","8.2","","backend,api,nestjs","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-010","VND-009-T1","NestJS,TypeScript","Medium","Low","Endpoint successfully updates one or more fields of a product. A vendor cannot update a product they do not own. Input validation is applied to all fields.","Code reviewed; Unit & Integration tests passing; OpenAPI spec generated.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","QA Engineer for testing.","","Unit and Integration tests required.","Endpoint to be documented in OpenAPI spec.","Allows vendors to keep their product catalog accurate."
"VND-011-T1","Analysis: Design Asynchronous Product Deletion Flow","Design the asynchronous flow for product deletion to mitigate RISK-001. This involves defining the 'PENDING_DELETION' status, the 'ProductDeletionRequested' event schema, and the confirmation workflow from the Order Management service.","Task","Sprint Backlog","High","backend-dev-1@company.com","product.owner@company.com","2024-08-07","4.2","","analysis,architecture,backend","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-011","","System Design,Microservices Architecture","High","High","A sequence diagram for the asynchronous deletion process is created. The event schema is defined and documented. The state transitions for the Product entity are defined.","Architectural review completed and design approved.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","Backend Lead, Order Management Service Team.","Order Management service API contract.","Design review.","No deployment, this is a design task.","Mitigates a high-impact architectural risk (cascading failures)."
"VND-011-T2","Backend: Implement Asynchronous Product Deletion Endpoint","Implement the `DELETE /products/{id}` endpoint. Instead of a hard delete, this endpoint will update the product's status to 'PENDING_DELETION' and publish a 'ProductDeletionRequested' event using the Transactional Outbox pattern.","Task","Sprint Backlog","High","backend-dev-2@company.com","product.owner@company.com","2024-08-08","8.3","","backend,api,nestjs,async","Sprint 1","Establish core vendor profile, store controls, and foundational product management (categories and add/edit/delete product).","Product & Catalog Management","EPIC-002","Vendor & Catalog Service","VND-011","VND-011-T1,VND-007-T2","NestJS,TypeScript,TypeORM","High","Medium","The endpoint updates the product status to 'PENDING_DELETION'. A 'ProductDeletionRequested' event is written to the outbox table atomically. The endpoint returns an immediate 202 Accepted response.","Code reviewed; Integration tests passing.","2024-07-29T09:00:00Z","2024-07-29T09:00:00Z","2024-07-29","2024-08-09","100%","None","","Integration tests for atomicity and event publication.","","Allows vendors to remove products without risking system stability."
